iteration,status,is_success,trial_dir,n_new_features,feature_names,policy_excerpt,rationale_excerpt,error,metric_accuracy,metric_precision,metric_recall,metric_auc,metric_fpr,metric_fnr,metric_tpr_at_fpr1pct,metric_tn,metric_fp,metric_fn,metric_tp,delta_accuracy,delta_recall,delta_auc,delta_tpr_at_fpr1pct
1,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_001,5,"spare_cap_x_wl_total,spare_cap_x_sku_counts,spare_cap_sq,hH_x_lL,big_piece_share",- Focus on the TPR@FPR=1% gap (0.17 below RF): the SVM misses hard positives because it cannot express nonlinear interactions and threshold effects on the top features. - Priority 1: explicit interactions between `spare_capacity` and the ne,- **spare_cap_x_wl_total**: The two highest-importance RF features (31% + 14%) interact conditionally in tree splits; the product lets the linear SVM assign a separate weight to the joint high-pressure regime. - **spare_cap_x_sku_counts**: ,,0.9288,0.9435946462715105,0.9705014749262537,0.9686003181958213,0.2532188841201717,0.029498525073746312,0.6691248770894789,348,118,60,1974,0.0011999999999999789,0.002458210422812246,0.003460485058722873,0.034414945919370665
2,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_002,3,"spare_cap_x_sku_avg_vol,wl_max_residual,awkward_shape_share","- Continue targeting the TPR@FPR=1% gap by linearizing RF's conditional splits on the top features. - Iteration 1 covered spare-capacity interactions with `wl_total` and `sku_counts`, a quadratic slack term, cross-dimension tightness, and a",- **`spare_cap_x_sku_avg_vol`**: `sku_average_volume` has the single largest SVM weight (−16.4) and RF importance 0.064. Iteration 1 interacted spare capacity with `wl_total` and `sku_counts`; the remaining top interaction with average volu,,0.9292,0.9440459110473458,0.9705014749262537,0.9686583446221109,0.2510729613733906,0.029498525073746312,0.6666666666666666,349,117,60,1974,0.0016000000000000458,0.002458210422812246,0.0035185114850124766,0.03195673549655842
3,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_003,3,"spare_cap_x_wl_max,item_vol_cv,long_item_share",,,,0.9284,0.9439923408329344,0.9695181907571289,0.9703970273589324,0.2510729613733906,0.03048180924287119,0.7069813176007866,349,117,62,1972,0.0008000000000000229,0.001474926253687392,0.005257194221834016,0.07227138643067843
4,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_004,3,"spare_cap_x_hH,floor_area_pressure,tall_item_share","- Add `spare_cap_x_hH` to close the specific gap where h_to_H_ratio_avg (RF importance 0.030) has no spare_capacity interaction in the active bank, unlike the already-accepted wl_total and wl_max interactions - Add `floor_area_pressure` to ",- `spare_cap_x_h,,0.9284,0.9444178246286535,0.9690265486725663,0.9704476686036942,0.24892703862660945,0.030973451327433628,0.7059980334316618,350,116,63,1971,0.0008000000000000229,0.000983284169124854,0.005307835466595856,0.07128810226155358
5,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_005,3,"wl_cv,fragile_share,spare_cap_cubed",- Shift from spare_capacity interactions (already well-covered in active bank) to **dispersion and constraint signals** that trees exploit via sequential splits on wl-family spread and item-level orientation restrictions. - Add **wl_cv** (H,"- **wl_cv** linearizes the tree pattern where RF splits on wl_std conditional on wl_avg: a high CV means one or few SKUs dominate the wl footprint (potential bottleneck), while low CV means uniform spread (easier packing). This is a pure ra",,0.9296,0.9444976076555024,0.9705014749262537,0.9710574735927009,0.24892703862660945,0.029498525073746312,0.6956735496558505,350,116,60,1974,0.0020000000000000018,0.002458210422812246,0.005917640455602502,0.06096361848574228
6,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_006,3,"wl_max_to_avg,tight_x_high_wl,sku_counts_x_lL",,,,0.9288,0.9448705656759347,0.9690265486725663,0.9713613210612717,0.24678111587982832,0.030973451327433628,0.704031465093412,351,115,63,1971,0.0011999999999999789,0.000983284169124854,0.006221487924173319,0.06932153392330376
7,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_007,3,"sku_counts_x_hH,flat_item_mean,near_limit_share","- Add **sku_counts × h_to_H** (H5, untried): isolates ""many items competing for vertical space"" regardless of overall slack — distinct from the rejected `spare_cap × hH` which captured slack-conditional vertical tightness. - Introduce **mea",- `sku_counts_x_hH` targets the H5 hypothesis (sku_counts × height ratio interaction) not yet in the active bank; it captures vertical crowding pressure that trees model via sequential splits on count then height ratio. - `flat_item_mean` i,,0.9288,0.9444444444444444,0.9695181907571289,0.9715870966108346,0.24892703862660945,0.03048180924287119,0.7050147492625368,350,116,62,1972,0.0011999999999999789,0.001474926253687392,0.006447263473736253,0.07030481809242861
8,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_008,3,"spare_cap_x_long_item,dim_l_max_to_veh_l,wl_total_x_sku_counts","- Shift focus to **bottleneck dimension signals** and **top-RF-feature interactions not yet combined**: the active bank covers spare_capacity interactions with wl_total, sku_counts, and wl_max, but misses the direct interaction of wl_total ",- **spare_cap_x_long_item** linearizes the tree pattern where a split on low spare_capacity is followed by a split on long-item prevalence; the active bank has spare_cap × sku_counts but not the specific interaction with orientation-constra,,0.9304,0.9458293384467881,0.9700098328416913,0.9718054869788699,0.24248927038626608,0.02999016715830875,0.6927236971484759,353,113,61,1973,0.0028000000000000247,0.001966568338249819,0.006665653841771535,0.058013765978367715
9,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_009,3,"spare_cap_x_wl_cv,near_h_limit_share,wl_total_sq",- Target the stubborn TPR@FPR=1% gap by adding features that linearize the conditional structure trees exploit via depth-2 splits on wl-family dispersion conditional on spare capacity. - Introduce a **spare_capacity × wl_cv** interaction: t,"- **spare_cap_x_wl_cv** targets the conditional interaction where trees first split on spare_capacity then on wl dispersion: when slack is scarce AND utilization is uneven (high cv), some SKUs dominate the length-width footprint while other",,0.9304,0.9454022988505747,0.9705014749262537,0.9722992391152974,0.2446351931330472,0.029498525073746312,0.6853490658800393,352,114,60,1974,0.0028000000000000247,0.002458210422812246,0.007159405978198974,0.05063913470993109
10,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260518_194131/trials/iter_010,3,"load_util_ratio,multi_dim_tight_share,dim_l_tail_ratio","- Pivot from pure spatial-constraint features to **weight-capacity pressure**, an entirely orthogonal constraint axis not yet represented in the active bank. - Add a **per-item multi-dimensional tightness** threshold count: trees naturally ","- **load_util_ratio** opens a genuinely new constraint axis (weight vs. spatial). All 17 active-bank features are purely dimensional; weight pressure is orthogonal and directly affects feasibility, especially for dispatches that appear spat",,0.9312,0.9467370441458733,0.9700098328416913,0.9733088989327359,0.23819742489270387,0.02999016715830875,0.6902654867256637,355,111,61,1973,0.0036000000000000476,0.001966568338249819,0.008169065795637476,0.05555555555555547
